순위,시도,시군구,등재축제수,대표축제,대표축제URL,공문본문문단,전체등재목록,담당부서,담당자,연락처,이메일,발송상태,발송일,비고
1,"광주광역시","동구",4,"광주 추억의 충장축제","chukjero.com/festival/692682","귀 구에서 개최하는 「광주 추억의 충장축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/692682","광주 추억의 충장축제(예정) chukjero.com/festival/692682 ; 광주버스킹월드컵(예정) chukjero.com/festival/2990881 ; 동구 무등산인문축제(종료) chukjero.com/festival/2988364 ; 광주국가유산야행(종료) chukjero.com/festival/2608888",,,,,"미발송",,
2,"강원특별자치도","강릉시",5,"강릉커피축제","chukjero.com/festival/825295","귀 시에서 개최하는 「강릉커피축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/825295","강릉커피축제(예정) chukjero.com/festival/825295 ; 명주인형극제(예정) chukjero.com/festival/2543724 ; 강릉 국가유산 야행(예정) chukjero.com/festival/2541883 ; 강릉비치비어페스티벌(종료) chukjero.com/festival/2607445 ; 강릉단오제(종료) chukjero.com/festival/531391",,,,,"미발송",,
3,"경기도","고양시",3,"고양행주한우 숯불구이축제","chukjero.com/festival/3383613","귀 시에서 개최하는 「고양행주한우 숯불구이축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/3383613","고양행주한우 숯불구이축제(예정) chukjero.com/festival/3383613 ; 고양호수예술축제(예정) chukjero.com/festival/1100492 ; 고양행주문화제(종료) chukjero.com/festival/530450",,,,,"미발송",,
4,"경상남도","김해시",1,"김해 국가유산 야행","chukjero.com/festival/2551117","귀 시에서 개최하는 「김해 국가유산 야행」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2551117","김해 국가유산 야행(예정) chukjero.com/festival/2551117",,,,,"미발송",,
5,"경상남도","사천시",1,"사천에어쇼","chukjero.com/festival/234232","귀 시에서 개최하는 「사천에어쇼」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/234232","사천에어쇼(예정) chukjero.com/festival/234232",,,,,"미발송",,
6,"경상남도","산청군",3,"산청한방약초축제","chukjero.com/festival/506600","귀 군에서 개최하는 「산청한방약초축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/506600","산청한방약초축제(예정) chukjero.com/festival/506600 ; 불로초 원정대, 불로초를 찾아라!(종료) chukjero.com/festival/3488961 ; 산청농특산물대제전(종료) chukjero.com/festival/3482515",,,,,"미발송",,
7,"경상북도","영주시",1,"경북영주 풍기인삼축제","chukjero.com/festival/506766","귀 시에서 개최하는 「경북영주 풍기인삼축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/506766","경북영주 풍기인삼축제(예정) chukjero.com/festival/506766",,,,,"미발송",,
8,"경상북도","구미시",3,"구미푸드페스티벌","chukjero.com/festival/3017799","귀 시에서 개최하는 「구미푸드페스티벌」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/3017799","구미푸드페스티벌(예정) chukjero.com/festival/3017799 ; 구미라면 축제(예정) chukjero.com/festival/3028462 ; 대한민국 펫캉스(종료) chukjero.com/festival/3302702",,,,,"미발송",,
9,"경상북도","김천시",2,"김천김밥축제","chukjero.com/festival/3377995","귀 시에서 개최하는 「김천김밥축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/3377995","김천김밥축제(예정) chukjero.com/festival/3377995 ; 김천포도축제(예정) chukjero.com/festival/2751126",,,,,"미발송",,
10,"광주광역시","서구",1,"광주김치축제","chukjero.com/festival/604097","귀 구에서 개최하는 「광주김치축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/604097","광주김치축제(예정) chukjero.com/festival/604097",,,,,"미발송",,
