순위,시도,시군구,등재축제수,대표축제,대표축제URL,공문본문문단,전체등재목록,담당부서,담당자,연락처,이메일,발송상태,발송일,비고
11,"부산광역시","동래구",1,"동래읍성역사축제","chukjero.com/festival/229048","귀 구에서 개최하는 「동래읍성역사축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/229048","동래읍성역사축제(예정) chukjero.com/festival/229048",,,,,"미발송",,
12,"부산광역시","사상구",2,"부산국제록페스티벌","chukjero.com/festival/140799","귀 구에서 개최하는 「부산국제록페스티벌」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/140799","부산국제록페스티벌(예정) chukjero.com/festival/140799 ; 사상 가로공원 벚꽃야장(野/夜) 페스티벌(종료) chukjero.com/festival/4041281",,,,,"미발송",,
13,"서울특별시","강동구",1,"강동선사문화축제","chukjero.com/festival/1307813","귀 구에서 개최하는 「강동선사문화축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1307813","강동선사문화축제(예정) chukjero.com/festival/1307813",,,,,"미발송",,
14,"서울특별시","관악구",2,"관악강감찬축제","chukjero.com/festival/2612274","귀 구에서 개최하는 「관악강감찬축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2612274","관악강감찬축제(예정) chukjero.com/festival/2612274 ; 그루브 인 관악(종료) chukjero.com/festival/2826964",,,,,"미발송",,
15,"세종특별자치시","-",3,"세종한글축제","chukjero.com/festival/1849007","귀 시에서 개최하는 「세종한글축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1849007","세종한글축제(예정) chukjero.com/festival/1849007 ; 세종단오제(종료) chukjero.com/festival/3305155 ; 세종낙화축제(종료) chukjero.com/festival/3300114",,,,,"미발송",,
16,"울산광역시","중구",1,"성남동 커피페스티벌","chukjero.com/festival/3501104","귀 구에서 개최하는 「성남동 커피페스티벌」이 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/3501104","성남동 커피페스티벌(예정) chukjero.com/festival/3501104",,,,,"미발송",,
17,"인천광역시","부평구",1,"부평풍물대축제","chukjero.com/festival/1266642","귀 구에서 개최하는 「부평풍물대축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1266642","부평풍물대축제(예정) chukjero.com/festival/1266642",,,,,"미발송",,
18,"인천광역시","남동구",1,"소래포구축제","chukjero.com/festival/506809","귀 구에서 개최하는 「소래포구축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/506809","소래포구축제(예정) chukjero.com/festival/506809",,,,,"미발송",,
19,"전라남도","목포시",1,"목포항구축제","chukjero.com/festival/574014","귀 시에서 개최하는 「목포항구축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/574014","목포항구축제(예정) chukjero.com/festival/574014",,,,,"미발송",,
20,"전북특별자치도","고창군",3,"고창모양성제","chukjero.com/festival/604454","귀 군에서 개최하는 「고창모양성제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/604454","고창모양성제(예정) chukjero.com/festival/604454 ; 고창갯벌축제(종료) chukjero.com/festival/1835137 ; 고창청보리밭 축제(종료) chukjero.com/festival/511801",,,,,"미발송",,
21,"전북특별자치도","군산시",1,"군산시간여행축제","chukjero.com/festival/1846797","귀 시에서 개최하는 「군산시간여행축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1846797","군산시간여행축제(예정) chukjero.com/festival/1846797",,,,,"미발송",,
22,"전북특별자치도","김제시",3,"김제지평선축제","chukjero.com/festival/574285","귀 시에서 개최하는 「김제지평선축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/574285","김제지평선축제(예정) chukjero.com/festival/574285 ; 김제 모악산 뮤직페스티벌(종료) chukjero.com/festival/1248817 ; 김제 꽃빛드리 축제(종료) chukjero.com/festival/2953096",,,,,"미발송",,
23,"제주특별자치도","서귀포시",5,"서귀포칠십리축제","chukjero.com/festival/506616","귀 시에서 개최하는 「서귀포칠십리축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/506616","서귀포칠십리축제(예정) chukjero.com/festival/506616 ; 귀몽 제주신화월드(예정) chukjero.com/festival/2728613 ; 새연교 주말 문화공연 '금토금토 새연쇼'(진행중) chukjero.com/festival/2434545 ; 서귀포유채꽃축제(종료) chukjero.com/festival/141736 ; 서귀포 유채꽃 국제걷기대회(종료) chukjero.com/festival/921281",,,,,"미발송",,
24,"충청남도","계룡시",1,"계룡軍문화축제","chukjero.com/festival/2992940","귀 시에서 개최하는 「계룡軍문화축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/2992940","계룡軍문화축제(예정) chukjero.com/festival/2992940",,,,,"미발송",,
25,"충청남도","금산군",3,"금산세계인삼축제","chukjero.com/festival/506465","귀 군에서 개최하는 「금산세계인삼축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/506465","금산세계인삼축제(예정) chukjero.com/festival/506465 ; 금산삼계탕축제(종료) chukjero.com/festival/2719507 ; 금산 보곡산골 산벚꽃 축제(종료) chukjero.com/festival/2950952",,,,,"미발송",,
26,"충청남도","서산시",1,"서산해미읍성축제","chukjero.com/festival/140752","귀 시에서 개최하는 「서산해미읍성축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/140752","서산해미읍성축제(예정) chukjero.com/festival/140752",,,,,"미발송",,
27,"충청북도","청주시",2,"세종대왕과 초정약수축제","chukjero.com/festival/1344850","귀 시에서 개최하는 「세종대왕과 초정약수축제」가 대한민국 축제 종합안내 플랫폼 '축제로(chukjero.com)'에 등재되어, 한국어를 포함한 13개 언어로 국내외 방문객에게 안내되고 있음을 알려드립니다. 아래 주소에서 등재 내용을 확인하실 수 있으며, 정보의 수정이나 추가 등록을 원하시는 경우 회신하여 주시기 바랍니다. ▷ 등재 주소: chukjero.com/festival/1344850","세종대왕과 초정약수축제(예정) chukjero.com/festival/1344850 ; 반딧불이 곤충축제(종료) chukjero.com/festival/4070513",,,,,"미발송",,
